vinDisplacement,Displacement
1,1450 EFI
2,883 ESPFI
3,1200 ESPFI
4,1584 ESPFI
5,"1584 ESPFI, Twin Cam 96B"
6,1200
8,1800 ESPFI
9,1800 ESPFI H 1250 ESPFI
A,1130 Revolution (100 CV) / 500cc Liquid Cooled Revolution X
B,1450 Fuel Injected Counter Balanced / 749cc Liquid Cooled Revolution X
C,1550
D,1550 EFI
E,1690 EFI
F,1690 Balanced-EFI
G,1246 Revolution EFI
H,"1246 (2001-2009), 1000 Ironhead XL"
J,1246
K,1340 Shovelhead
L,1340 Evolution
M,"883 Evolution XL, Twin Cam 103"
N,1100 Evolution XL
P,1200 Evolution XL
R,1340 Evolution Fuel Injected
S,500 Single (Armstrong Military)
V,"Twin Cam 88 Carburetor, 130B"
W,Twin Cam 88 Fuel Injected
Y,Twin Cam 88 Counter Balanced - Carb
Z,1130 Revolution
